"State Imports by NAICS Commodities"
"Current date: 03/15/2026 5:03 PM (Eastern Daylight Time)"
"Measures: Customs Value (Gen) ($US)"
"State","Commodity","Country","Time","Customs Value (Gen) ($US)",
"All States","All Commodities","Bahamas","2023","1,823,550,022"
"All States","All Commodities","Bahamas","2024","1,792,370,327"
"All States","All Commodities","Bahamas","2025","2,615,259,381"
"All States","All Commodities","Bahamas","2026 through January","276,543,797"
"All States","All Commodities","Bahrain","2020","634,002,423"
"All States","All Commodities","Bahrain","2021","1,234,657,849"
"All States","All Commodities","Bahrain","2022","1,954,480,571"
"All States","All Commodities","Bahrain","2023","1,166,316,719"
"All States","All Commodities","Bahrain","2024","1,238,909,205"
"All States","All Commodities","Bahrain","2025","1,258,897,919"
"All States","All Commodities","Bahrain","2026 through January","93,559,357"
"All States","All Commodities","Bangladesh","2020","6,064,777,735"
"All States","All Commodities","Bangladesh","2021","8,285,909,198"
"All States","All Commodities","Bangladesh","2022","11,150,981,950"
"All States","All Commodities","Bangladesh","2023","8,273,724,217"
"All States","All Commodities","Bangladesh","2024","8,358,699,586"
"All States","All Commodities","Bangladesh","2025","9,473,901,826"
"All States","All Commodities","Bangladesh","2026 through January","924,241,824"
"All States","All Commodities","Barbados","2020","47,920,960"
"All States","All Commodities","Barbados","2021","43,863,511"
"All States","All Commodities","Barbados","2022","52,321,212"
"All States","All Commodities","Barbados","2023","47,992,412"
"All States","All Commodities","Barbados","2024","48,586,697"
"All States","All Commodities","Barbados","2025","47,041,267"
"All States","All Commodities","Barbados","2026 through January","2,215,140"
"All States","All Commodities","Belarus","2020","333,052,655"
"All States","All Commodities","Belarus","2021","479,153,594"
"All States","All Commodities","Belarus","2022","208,854,534"
"All States","All Commodities","Belarus","2023","47,443,251"
"All States","All Commodities","Belarus","2024","20,060,013"
"All States","All Commodities","Belarus","2025","19,102,894"
"All States","All Commodities","Belarus","2026 through January","1,299,545"
"All States","All Commodities","Belgium","2020","21,028,718,780"
"All States","All Commodities","Belgium","2021","21,469,875,638"
"All States","All Commodities","Belgium","2022","26,606,745,864"
"All States","All Commodities","Belgium","2023","22,764,808,127"
"All States","All Commodities","Belgium","2024","27,786,935,658"
"All States","All Commodities","Belgium","2025","27,257,309,428"
"All States","All Commodities","Belgium","2026 through January","2,316,490,250"
"All States","All Commodities","Belize","2020","51,352,794"
"All States","All Commodities","Belize","2021","67,461,500"
"All States","All Commodities","Belize","2022","60,841,626"
"All States","All Commodities","Belize","2023","55,462,942"
"All States","All Commodities","Belize","2024","81,128,498"
"All States","All Commodities","Belize","2025","58,346,228"
"All States","All Commodities","Belize","2026 through January","1,666,056"
"All States","All Commodities","Benin","2020","5,576,480"
"All States","All Commodities","Benin","2021","8,184,353"
"All States","All Commodities","Benin","2022","3,267,497"
"All States","All Commodities","Benin","2023","12,451,231"
"All States","All Commodities","Benin","2024","48,623,404"
"All States","All Commodities","Benin","2025","40,561,627"
"All States","All Commodities","Benin","2026 through January","3,677,002"
"All States","All Commodities","Bermuda","2020","24,463,220"
"All States","All Commodities","Bermuda","2021","10,496,544"
"All States","All Commodities","Bermuda","2022","14,207,705"
"All States","All Commodities","Bermuda","2023","25,112,915"
"All States","All Commodities","Bermuda","2024","23,286,452"
"All States","All Commodities","Bermuda","2025","47,435,528"
"All States","All Commodities","Bermuda","2026 through January","467,150"
"All States","All Commodities","Bhutan","2020","420,803"
"All States","All Commodities","Bhutan","2021","354,393"
"All States","All Commodities","Bhutan","2022","279,764"
"All States","All Commodities","Bhutan","2023","1,542,405"
"All States","All Commodities","Bhutan","2024","3,321,048"
"All States","All Commodities","Bhutan","2025","6,149,437"
"All States","All Commodities","Bhutan","2026 through January","2,216,228"
"All States","All Commodities","Bolivia","2020","379,829,552"
"All States","All Commodities","Bolivia","2021","495,377,997"
"All States","All Commodities","Bolivia","2022","644,496,074"
"All States","All Commodities","Bolivia","2023","409,527,841"
"All States","All Commodities","Bolivia","2024","502,846,157"
"All States","All Commodities","Bolivia","2025","618,781,361"
"All States","All Commodities","Bolivia","2026 through January","68,825,378"
"All States","All Commodities","Bosnia and Herzegovina","2020","98,086,537"
"All States","All Commodities","Bosnia and Herzegovina","2021","164,276,752"
"All States","All Commodities","Bosnia and Herzegovina","2022","169,063,085"
"All States","All Commodities","Bosnia and Herzegovina","2023","152,564,122"
"All States","All Commodities","Bosnia and Herzegovina","2024","178,941,279"
"All States","All Commodities","Bosnia and Herzegovina","2025","157,942,077"
"All States","All Commodities","Bosnia and Herzegovina","2026 through January","8,744,096"
"All States","All Commodities","Botswana","2020","174,996,268"
"All States","All Commodities","Botswana","2021","251,645,067"
"All States","All Commodities","Botswana","2022","455,229,140"
"All States","All Commodities","Botswana","2023","490,419,109"
"All States","All Commodities","Botswana","2024","405,123,674"
"All States","All Commodities","Botswana","2025","228,653,137"
"All States","All Commodities","Botswana","2026 through January","4,851,166"
"All States","All Commodities","Brazil","2020","23,363,615,837"
"All States","All Commodities","Brazil","2021","31,236,663,983"
"All States","All Commodities","Brazil","2022","38,909,316,096"
"All States","All Commodities","Brazil","2023","39,060,502,224"
"All States","All Commodities","Brazil","2024","42,348,411,089"
"All States","All Commodities","Brazil","2025","39,937,867,130"
"All States","All Commodities","Brazil","2026 through January","2,781,650,258"
"All States","All Commodities","British Indian Ocean Territories","2020","167,799"
"All States","All Commodities","British Indian Ocean Territories","2021","395,331"
"All States","All Commodities","British Indian Ocean Territories","2022","392,163"
"All States","All Commodities","British Indian Ocean Territories","2023","320,396"
"All States","All Commodities","British Indian Ocean Territories","2024","462,491"
"All States","All Commodities","British Indian Ocean Territories","2025","5,775"
"All States","All Commodities","British Indian Ocean Territories","2026 through January","301"
"All States","All Commodities","British Virgin Islands","2020","8,447,145"
"All States","All Commodities","British Virgin Islands","2021","4,652,108"
"All States","All Commodities","British Virgin Islands","2022","4,239,237"
"All States","All Commodities","British Virgin Islands","2023","19,452,169"
"All States","All Commodities","British Virgin Islands","2024","60,193,702"
"All States","All Commodities","British Virgin Islands","2025","13,898,675"
"All States","All Commodities","British Virgin Islands","2026 through January","525,445"
"All States","All Commodities","Brunei","2020","82,922,993"
"All States","All Commodities","Brunei","2021","17,060,499"
"All States","All Commodities","Brunei","2022","90,392,300"
"All States","All Commodities","Brunei","2023","255,222,443"
"All States","All Commodities","Brunei","2024","238,619,776"
"All States","All Commodities","Brunei","2025","105,152,021"
"All States","All Commodities","Brunei","2026 through January","640,574"
"All States","All Commodities","Bulgaria","2020","847,117,495"
"All States","All Commodities","Bulgaria","2021","1,152,100,836"
"All States","All Commodities","Bulgaria","2022","1,509,400,631"
"All States","All Commodities","Bulgaria","2023","1,569,065,986"
"All States","All Commodities","Bulgaria","2024","1,489,084,413"
"All States","All Commodities","Bulgaria","2025","1,473,155,920"
"All States","All Commodities","Bulgaria","2026 through January","102,845,768"
"All States","All Commodities","Burkina Faso","2020","5,090,827"
"All States","All Commodities","Burkina Faso","2021","3,736,760"
"All States","All Commodities","Burkina Faso","2022","6,450,196"
"All States","All Commodities","Burkina Faso","2023","4,059,780"
"All States","All Commodities","Burkina Faso","2024","4,520,666"
"All States","All Commodities","Burkina Faso","2025","5,074,746"
"All States","All Commodities","Burkina Faso","2026 through January","13,495"
"All States","All Commodities","Burma","2020","1,025,857,722"
"All States","All Commodities","Burma","2021","933,920,698"
"All States","All Commodities","Burma","2022","1,067,060,540"
"All States","All Commodities","Burma","2023","857,851,612"
"All States","All Commodities","Burma","2024","652,374,896"
"All States","All Commodities","Burma","2025","760,611,275"
"All States","All Commodities","Burma","2026 through January","55,788,791"
"All States","All Commodities","Burundi","2020","3,912,589"
"All States","All Commodities","Burundi","2021","3,801,794"
"All States","All Commodities","Burundi","2022","7,763,315"
"All States","All Commodities","Burundi","2023","6,363,834"
"All States","All Commodities","Burundi","2024","3,736,684"
"All States","All Commodities","Burundi","2025","8,149,025"
"All States","All Commodities","Burundi","2026 through January","1,872,765"
"All States","All Commodities","Cabo Verde","2020","4,618,880"
"All States","All Commodities","Cabo Verde","2021","5,399,945"
"All States","All Commodities","Cabo Verde","2022","6,705,642"
"All States","All Commodities","Cabo Verde","2023","6,004,134"
"All States","All Commodities","Cabo Verde","2024","4,058,247"
"All States","All Commodities","Cabo Verde","2025","5,969,093"
"All States","All Commodities","Cabo Verde","2026 through January","208,041"
"All States","All Commodities","Cambodia","2020","6,550,523,796"
"All States","All Commodities","Cambodia","2021","8,730,474,364"
"All States","All Commodities","Cambodia","2022","12,208,198,814"
"All States","All Commodities","Cambodia","2023","11,586,087,491"
"All States","All Commodities","Cambodia","2024","12,645,678,620"
"All States","All Commodities","Cambodia","2025","15,298,157,078"
"All States","All Commodities","Cambodia","2026 through January","1,538,738,257"
"All States","All Commodities","Cameroon","2020","470,455,810"
"All States","All Commodities","Cameroon","2021","248,371,222"
"All States","All Commodities","Cameroon","2022","102,104,157"
"All States","All Commodities","Cameroon","2023","127,879,901"
"All States","All Commodities","Cameroon","2024","247,114,466"
"All States","All Commodities","Cameroon","2025","287,733,635"
"All States","All Commodities","Cameroon","2026 through January","21,635,886"
"All States","All Commodities","Canada","2020","270,025,523,613"
"All States","All Commodities","Canada","2021","357,274,663,444"
"All States","All Commodities","Canada","2022","437,417,589,559"
"All States","All Commodities","Canada","2023","418,010,321,977"
"All States","All Commodities","Canada","2024","411,886,683,368"
"All States","All Commodities","Canada","2025","382,960,302,417"
"All States","All Commodities","Canada","2026 through January","28,330,595,475"
"All States","All Commodities","Cayman Islands","2020","20,228,014"
"All States","All Commodities","Cayman Islands","2021","17,212,578"
"All States","All Commodities","Cayman Islands","2022","22,778,154"
"All States","All Commodities","Cayman Islands","2023","30,072,181"
"All States","All Commodities","Cayman Islands","2024","49,045,381"
"All States","All Commodities","Cayman Islands","2025","40,593,348"
"All States","All Commodities","Cayman Islands","2026 through January","2,783,380"
"All States","All Commodities","Central African Republic","2020","1,014,445"
"All States","All Commodities","Central African Republic","2021","1,747,935"
"All States","All Commodities","Central African Republic","2022","880,502"
"All States","All Commodities","Central African Republic","2023","2,087,836"
"All States","All Commodities","Central African Republic","2024","1,422,027"
"All States","All Commodities","Central African Republic","2025","1,078,135"
