State Exports by NAICS Commodities,,,,
Current date: 03/15/2026 5:00 PM (Eastern Daylight Time),,,,
Measures: Total Exports Value ($US),,,,
State,Commodity,Country,Time,Total Exports Value ($US)
All States,All Commodities,Bangladesh,2023,"2,250,413,045"
All States,All Commodities,Bangladesh,2024,"2,295,244,681"
All States,All Commodities,Bangladesh,2025,"2,327,869,359"
All States,All Commodities,Bangladesh,2026 through January,"110,354,421"
All States,All Commodities,Barbados,2020,"504,740,124"
All States,All Commodities,Barbados,2021,"743,826,558"
All States,All Commodities,Barbados,2022,"819,620,833"
All States,All Commodities,Barbados,2023,"709,490,898"
All States,All Commodities,Barbados,2024,"768,532,568"
All States,All Commodities,Barbados,2025,"653,142,448"
All States,All Commodities,Barbados,2026 through January,"46,849,301"
All States,All Commodities,Belarus,2020,"121,935,229"
All States,All Commodities,Belarus,2021,"217,702,918"
All States,All Commodities,Belarus,2022,"40,129,364"
All States,All Commodities,Belarus,2023,"17,295,613"
All States,All Commodities,Belarus,2024,"10,540,746"
All States,All Commodities,Belarus,2025,"18,904,910"
All States,All Commodities,Belarus,2026 through January,"448,083"
All States,All Commodities,Belgium,2020,"27,578,395,818"
All States,All Commodities,Belgium,2021,"33,710,260,694"
All States,All Commodities,Belgium,2022,"35,809,994,477"
All States,All Commodities,Belgium,2023,"38,429,686,763"
All States,All Commodities,Belgium,2024,"34,200,503,741"
All States,All Commodities,Belgium,2025,"36,404,823,241"
All States,All Commodities,Belgium,2026 through January,"3,196,081,822"
All States,All Commodities,Belize,2020,"395,041,410"
All States,All Commodities,Belize,2021,"412,257,739"
All States,All Commodities,Belize,2022,"507,560,342"
All States,All Commodities,Belize,2023,"645,938,849"
All States,All Commodities,Belize,2024,"598,663,038"
All States,All Commodities,Belize,2025,"620,827,716"
All States,All Commodities,Belize,2026 through January,"50,397,658"
All States,All Commodities,Benin,2020,"196,748,697"
All States,All Commodities,Benin,2021,"291,758,735"
All States,All Commodities,Benin,2022,"285,434,934"
All States,All Commodities,Benin,2023,"239,545,520"
All States,All Commodities,Benin,2024,"213,982,738"
All States,All Commodities,Benin,2025,"330,003,403"
All States,All Commodities,Benin,2026 through January,"24,633,825"
All States,All Commodities,Bermuda,2020,"459,177,997"
All States,All Commodities,Bermuda,2021,"551,977,545"
All States,All Commodities,Bermuda,2022,"646,578,331"
All States,All Commodities,Bermuda,2023,"565,391,728"
All States,All Commodities,Bermuda,2024,"546,509,742"
All States,All Commodities,Bermuda,2025,"570,822,402"
All States,All Commodities,Bermuda,2026 through January,"38,365,538"
All States,All Commodities,Bhutan,2020,"2,857,352"
All States,All Commodities,Bhutan,2021,"5,921,086"
All States,All Commodities,Bhutan,2022,"4,384,054"
All States,All Commodities,Bhutan,2023,"4,734,526"
All States,All Commodities,Bhutan,2024,"3,497,009"
All States,All Commodities,Bhutan,2025,"4,559,297"
